"Project";"Task";"Date";"Start";"End";"Duration";"Comment"
"PhotoOps";"Programming";"2013-10-22";"2013-10-22 17:00:00";"2013-10-22 20:30:00";"03:30:00";""
"PhotoOps";"Programming";"2013-10-23";"2013-10-23 10:15:00";"2013-10-23 16:15:00";"06:00:00";"cont programming photoops verifier app"
"PhotoOps";"Programming";"2013-10-23";"2013-10-23 18:15:00";"2013-10-23 20:15:00";"02:00:00";"got push working "
"PhotoOps";"Programming";"2013-10-24";"2013-10-24 08:15:00";"2013-10-24 13:15:00";"05:00:00";""
"PhotoOps";"Programming";"2013-10-25";"2013-10-25 10:45:00";"2013-10-25 15:30:00";"04:44:59";"cont building verifier prototype app
"
"PhotoOps";"Programming";"2013-10-25";"2013-10-25 17:15:00";"2013-10-25 18:15:00";"00:59:59";"cont building verifier prototype app"
"PhotoOps";"Programming";"2013-10-25";"2013-10-25 18:45:00";"2013-10-25 19:15:00";"00:30:00";"got it
has some rough edges to smooth out"
"PhotoOps";"Programming";"2013-10-26";"2013-10-26 09:15:00";"2013-10-26 10:00:00";"00:45:00";"misc
acquire deviceToken"
"PhotoOps";"Programming";"2013-10-26";"2013-10-26 10:15:00";"2013-10-26 15:00:00";"04:44:59";""
"PhotoOps";"Programming";"2013-10-28";"2013-10-28 09:30:00";"2013-10-28 13:00:00";"03:29:59";"verification push prototype
"
"PhotoOps";"Programming";"2013-10-28";"2013-10-28 14:30:00";"2013-10-28 15:15:00";"00:45:00";"ad hoc build / test"
"PhotoOps";"Programming";"2013-10-28";"2013-10-28 16:30:00";"2013-10-28 19:00:00";"02:29:59";"cont adhoc build process for POverifier"
"PhotoOps";"Programming";"2013-10-29";"2013-10-29 09:00:00";"2013-10-29 13:30:00";"04:29:59";"troubleshoot / debug / code verification app"
"PhotoOps";"Programming";"2013-10-29";"2013-10-29 14:30:00";"2013-10-29 15:15:00";"00:44:59";"research git etc"
"PhotoOps";"Programming";"2013-10-29";"2013-10-29 17:30:00";"2013-10-29 19:45:00";"02:14:59";"started on lobby prototype web app"
"PhotoOps";"Programming";"2013-10-30";"2013-10-30 09:45:00";"2013-10-30 11:30:00";"01:45:00";"research web sockets / web workers for PO Lobby prototype use"
"PhotoOps";"Programming";"2013-10-30";"2013-10-30 12:15:00";"2013-10-30 13:30:00";"01:15:00";"cont research"
"PhotoOps";"Programming";"2013-10-30";"2013-10-30 14:00:00";"2013-10-30 14:30:00";"00:29:59";"work on PO Verifier app / saving tokens / creating token list for sending push notification "
"PhotoOps";"Programming";"2013-10-30";"2013-10-30 16:15:00";"2013-10-30 17:00:00";"00:44:59";"work on updates to PO Verifier"
"PhotoOps";"Programming";"2013-10-31";"2013-10-31 09:30:00";"2013-10-31 14:30:00";"04:59:59";"updates to PO Verifier app
testing / testing / testing"
